글램핑 바비큐(씬 M),105,266,0,13,0
글램핑 바비큐(씬 L),103,273,0,13,0
글램핑 바비큐(슈퍼시드 함유 도우M),172,485,0,24,0
글램핑 바비큐(슈퍼시드 함유 도우L),156,392,0,19,0
글램핑 바비큐 더블치즈엣지(오리지널 M),129,330,0,16,0
글램핑 바비큐 더블치즈엣지(오리지널 L),196,489,0,25,0
더블크러스트 이베리코(더블 크러스트 L),152,387,0,19,0
더블크러스트 이베리코(더블 크러스트 M),130,345,0,12,0
리얼불고기(오리지널 L),164,420,0,14,0
리얼불고기(오리지널 M),115,280,0,13,0
리얼불고기(나폴리L),130,334,0,16,0
리얼불고기(나폴리M),181,430,0,23,0
리얼불고기(씬 L),149,365,0,20,0
리얼불고기(씬 M),139,396,0,22,0
리얼불고기(슈퍼시드 함유 도우L),111,313,0,15,0
리얼불고기(슈퍼시드 함유 도우M),116,292,0,14,0
리얼불고기 더블치즈엣지(오리지널 L),133,344,0,17,0
리얼불고기 더블치즈엣지(오리지널 M),144,350,0,18,0
문어밤 슈림프(오리지널 L),170,428,0,21,0
문어밤 슈림프(오리지널 M),117,280,0,15,0
문어밤 슈림프(나폴리L),143,323,0,18,0
문어밤 슈림프(나폴리M),186,430,0,22,0
문어밤 슈림프(씬 L),111,254,0,15,0
문어밤 슈림프(씬 M),153,389,0,20,0
문어밤 슈림프(슈퍼시드 함유 도우L),130,333,0,19,0
문어밤 슈림프(슈퍼시드 함유 도우M),118,280,0,16,0
문어밤 슈림프 더블치즈엣지(오리지널 L),143,322,0,17,0
문어밤 슈림프 더블치즈엣지(오리지널 M),144,347,0,18,0
베스트 콰트로(오리지널 L),186,460,0,25,0
베스트 콰트로(오리지널 M),134,312,0,13,0
베스트 콰트로(나폴리L),157,387,0,18,0
베스트 콰트로(나폴리M),107,259,0,12,0
베스트 콰트로(씬 L),129,306,0,15,0
베스트 콰트로(씬 M),181,457,0,19,0
베스트 콰트로(슈퍼시드 함유 도우L),112,274,0,12,0
베스트 콰트로(슈퍼시드 함유 도우M),132,322,0,13,0
베스트 콰트로 더블치즈엣지(오리지널 L),159,393,0,17,0
베스트 콰트로 더블치즈엣지(오리지널 M),160,384,0,19,0
베이컨체더치즈(오리지널 L),194,455,0,23,0
베이컨체더치즈(오리지널 M),114,311,0,14,0
베이컨체더치즈(나폴리L),129,356,0,18,0
